time,height,Command,TotalDWSQuantity,Metrics,TotalFutureCommitments,TotalGrossFutureCommitments,TotalCommitmentsDueToday,TotalGrossCommitmentsDueToday,TotalBurnsToday,TotalGrossBurnsToday,TotalMonthlyCommitments,TotalGrossMonthlyCommitments,TotalAnnualReward,SaturationPercentAnnual,SaturationPercentMonthly,30dayDWU,90dayDWU,180dayDWU,365dayDWU
1585764749,185933,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,0,0,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091449,0.21799672,11.5937,13.3548,15.9964,21.4263
1585785808,185981,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,0,0,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091449,0.21799672,11.5937,13.3548,15.9964,21.4263
1585806325,186033,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,0,0,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091449,0.21799672,11.5937,13.3548,15.9964,21.4263
1585829084,186089,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,0,0,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091449,0.21799672,11.5937,13.3548,15.9964,21.4263
1585850782,186141,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,104.4725285518439,50104.1527,0,0,7408.09628066411,774998.3742999999,41354212.8381642,69.39091449,0.21496517,11.5937,13.3548,15.9964,21.4263
1585872203,186194,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,104.4725285518439,50104.1527,0,0,7408.09628066411,774998.3742999999,41354212.8381642,69.39091449,0.21496517,11.5937,13.3548,15.9964,21.4263
1585893358,186244,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,104.4725285518439,50104.1527,0,0,7408.09628066411,774998.3742999999,41354212.8381642,69.39091449,0.21496517,11.5937,13.3548,15.9964,21.4263
1585915604,186298,dwsquote,229,v1.1,28696066.46872894,84492343.57540014,104.4725285518439,50104.1527,0,0,7408.09628066411,774998.3742999999,41354212.8381642,69.39091449,0.21496517,11.5937,13.3548,15.9964,21.4263
1585936789,186350,dwsquote,229,v1.1,28695961.99620039,84442239.42270014,1164.443421241701,551165.3054,0,0,6243.652859422409,223833.0689,41354212.8381642,69.39066186,0.18117582,11.5938,13.3549,15.9965,21.4265
1585957385,186398,dwsquote,229,v1.1,28695961.99620039,84442239.42270014,1164.443421241701,551165.3054,0,0,6243.652859422409,223833.0689,41354212.8381642,69.39066186,0.18117582,11.5938,13.3549,15.9965,21.4265
1585979232,186453,dwsquote,231,v1.1,28715014.46417425,86461292.72810015,1164.443421241701,551165.3054,19052.46797386267,2019053.3054,25296.12083328508,2242886.3743,41354212.8381642,69.43673327,0.73403271,11.5763,13.3348,15.9724,21.3942
1586001987,186506,dwsquote,232,v1.1,28721844.72057462,87186122.88080016,1164.443421241701,551165.3054,25882.72437423481,2743883.4581,32126.37723365722,2967716.527,41354212.8381642,69.45324974,0.93223036,11.5701,13.3276,15.9638,21.3827
1586023730,186558,dwsquote,232,v1.1,28720680.27715338,86634957.57540016,135.0439829535403,50135.1527,25882.72437423481,2743883.4581,31991.33325070368,2917581.3743,41354212.8381642,69.45043396,0.92831171,11.5711,13.3288,15.9653,21.3847
1586044941,186612,dwsquote,232,v1.1,28720680.27715338,86634957.57540016,184.9210670634538,55185.3054,25882.72437423481,2743883.4581,31941.45616659377,2912531.2216,41354212.8381642,69.45043396,0.92686439,11.5711,13.3288,15.9653,21.3847
