height,sanctuary_reward,miner_subsidy,time
171937,4530,2548,1579976338
171936,,2573,1579975898
171935,4589,2581,1579975334
171934,,2581,1579975155
171933,,2584,1579974918
171932,,2594,1579974591
171931,4611,2593,1579974203
171930,4595,2585,1579973878
171929,4560,2565,1579973581
171928,4530,2548,1579973128
171927,4464,2511,1579972313
171926,4481,2520,1579971600
171925,4498,2530,1579970994
171924,4516,2540,1579970563
171923,4513,2539,1579970065
171922,4534,2550,1579970008
171921,,2556,1579969572
171920,,2523,1579969062
171919,4490,2525,1579968859
171918,4603,2589,1579968442
171917,4596,2585,1579968003
171916,,2575,1579967783
171915,,2497,1579967776
171914,4507,2535,1579967602
171913,4549,2559,1579966000
171912,,2565,1579965878
171911,4563,2566,1579965661
171910,4588,2581,1579965330
171909,4568,2569,1579965090
171908,,2559,1579964662
171907,4481,2520,1579964211
171906,4428,2491,1579963926
171905,4278,2406,1579962780
171904,4348,2445,1579962214
171903,4433,2493,1579961317
171902,4507,2535,1579961058
171901,4559,2564,1579960886
171900,4541,2554,1579960759
171899,4576,2574,1579960598
171898,4580,2576,1579960244
171897,4595,2585,1579959978
171896,4561,2565,1579959532
171895,4513,2539,1579959385
171894,4508,2536,1579958741
171893,4474,2516,1579958179
171892,4493,2527,1579957283
171891,4420,2486,1579956943
171890,4502,2532,1579956788
171889,4510,2536,1579955878
171888,4492,2526,1579955842
171887,4460,2508,1579955490
171886,4467,2513,1579955041
171885,4469,2513,1579954578
171884,4485,2523,1579954071
171883,4438,2496,1579953708
171882,4459,2508,1579953431
171881,4478,2519,1579952872
171880,4502,2532,1579952533
171879,4442,2498,1579952128
171878,4358,2451,1579951851
171877,4126,2321,1579951364
171876,4305,2421,1579950676
171875,4338,2440,1579949724
171874,4456,2507,1579949496
171873,4458,2507,1579949320
171872,4504,2533,1579949130
171871,,2525,1579948742
171870,4524,2545,1579948625
171869,4546,2557,1579948128
171868,4560,2565,1579947875
171867,,2556,1579947599
171866,4521,2543,1579947271
171865,,2544,1579946846
171864,4550,2559,1579946395
171863,,2570,1579945864
171862,,2564,1579945622
171861,,2572,1579945411
171860,,2571,1579944969
171859,4587,2580,1579944606
171858,4548,2558,1579944246
171857,4533,2550,1579943924
171856,4475,2517,1579943329
171855,4569,2570,1579942910
171854,4569,2570,1579942132
171853,4578,2575,1579942101
171852,4532,2549,1579941839
171851,4542,2555,1579941475
171850,4491,2526,1579940827
171849,,2537,1579940467
171848,,2479,1579939646
171847,4433,2494,1579939463
171846,4467,2512,1579938675
171845,,2580,1579938352
171844,,2581,1579938155
171843,,2568,1579938059
171842,,2518,1579937823
171841,,2488,1579937562
171840,4496,2529,1579936448
171839,,2570,1579935748
171838,4568,2569,1579935703
171837,4576,2574,1579935519
171836,4529,2548,1579935220
171835,4569,2570,1579934963
171834,4518,2541,1579934286
171833,4489,2525,1579933938
171832,4340,2441,1579933262
171831,4452,2504,1579933072
171830,4485,2523,1579931765
171829,4444,2499,1579931661
171828,4388,2468,1579931476
171827,4437,2496,1579930971
171826,4561,2565,1579930483
171825,4575,2573,1579930225
171824,4545,2556,1579930112
171823,4514,2539,1579930000
171822,4471,2515,1579929620
171821,4510,2537,1579928781
171820,4454,2505,1579928190
171819,4449,2502,1579927998
171818,4421,2486,1579927306
171817,4516,2540,1579927028
171816,4563,2567,1579926480
171815,4571,2571,1579926346
171814,4554,2561,1579926225
171813,4592,2583,1579925989
171812,4603,2589,1579925559
171811,4613,2595,1579925229
171810,4597,2585,1579925002
171809,4596,2585,1579924813
171808,4571,2571,1579924191
171807,4595,2585,1579923775
171806,4591,2582,1579923255
171805,4591,2582,1579922921
171804,4553,2561,1579922439
171803,4530,2548,1579922255
171802,4514,2539,1579921468
171801,4546,2557,1579920890
171800,4533,2549,1579920393
171799,4495,2528,1579920073
171798,,2456,1579919644
171797,4341,2441,1579919219
171796,4466,2512,1579918295
171795,4521,2543,1579917763
171794,4539,2553,1579917624
171793,4514,2539,1579917520
171792,4480,2520,1579917320
171791,4507,2535,1579916726
171790,4589,2581,1579916322
171789,4589,2581,1579916082
171788,4569,2570,1579915787
171787,,2519,1579915635
171786,4501,2531,1579915359
171785,4511,2537,1579914210
171784,4551,2560,1579913738
171783,4566,2568,1579913508
171782,4577,2575,1579913343
171781,4562,2566,1579912877
171780,4510,2537,1579912687
171779,4458,2507,1579912246
171778,4458,2507,1579911518
171777,,2532,1579910864
171776,4550,2559,1579910325
171775,,2569,1579910213
171774,,2548,1579910015
171773,,2504,1579909561
171772,,2369,1579909276
171771,,2423,1579908540
171770,,2470,1579907012
171769,,2504,1579906861
171768,,2556,1579906754
171767,,2557,1579906586
171766,4583,2578,1579906560
171765,4586,2579,1579906325
171764,,2571,1579906145
171763,,2547,1579905594
171762,4424,2488,1579905386
171761,4475,2517,1579904649
171760,4528,2547,1579903725
171759,4587,2580,1579903470
171758,4576,2574,1579903342
171757,4543,2555,1579903106
171756,4419,2485,1579902773
171755,4463,2510,1579902427
171754,4503,2533,1579901262
171753,,2543,1579900778
171752,,2554,1579900614
171751,,2594,1579900472
171750,,2602,1579900095
171749,,2593,1579899991
171748,,2571,1579899964
171747,4567,2569,1579899548
171746,4579,2575,1579898748
171745,,2578,1579898011
171744,4551,2560,1579897748
171743,4565,2567,1579897552
171742,,2571,1579896885
171741,4589,2581,1579896490
171740,4575,2573,1579896159
171739,,2566,1579895910
171738,4514,2539,1579895408
171737,4528,2547,1579894984
171736,4532,2549,1579894283
171735,4549,2559,1579893853
171734,4523,2544,1579893451
171733,4515,2540,1579893234
171732,4428,2491,1579892689
171731,4481,2520,1579892191
171730,4560,2565,1579891597
171729,4570,2570,1579891408
171728,,2567,1579891008
171727,,2533,1579890956
171726,,2522,1579890671
171725,4499,2530,1579889694
171724,,2550,1579889340
171723,4602,2589,1579888888
171722,,2575,1579888755
171721,,2550,1579888601
171720,,2459,1579888137
171719,4332,2437,1579887866
171718,,2522,1579886129
171717,,2492,1579885776
